id,date,views,forwards,edit_date,item,item_name,address,amount,currency
1280,2021-12-03,992,0,2021-12-03,0-H136 ,,," قیمت فروش (25,000$) ",Dollar
1270,2021-12-02,965,0,2021-12-02,0-BG3 ,,," قیمت گروی (12,000$) ",Dollar
1259,2021-12-02,907,0,2021-12-02,0-H128 ,,," قیمت فروش (43,000$) ",Dollar
1250,2021-12-01,927,1,2021-12-01,0-H128 ,,," قیمت فروشی (43,000$) ",Dollar
1240,2021-12-01,941,0,2022-07-06,0-BG4 ,,," قیمت گروی (9,000$) ",Dollar
1233,2021-11-30,945,0,2022-04-13,0-150 ,,," قیمت فروش (120,000$) ",Dollar
1222,2021-11-30,899,1,2021-11-30,0-H143 ,,," قیمت فروش (78,000$) ",Dollar
1211,2021-11-30,867,1,2021-11-30,0-H133 ,,," قیمت فروش (45,000$) ",Dollar
1201,2021-11-29,886,0,2021-11-29,0-H109 ,,," قیمت فروش (27,000$) ",Dollar
1192,2021-11-29,861,0,2021-11-29,0-H90 ,,," قیمت فروش (30,000$) ",Dollar
1187,2021-11-29,849,0,2021-11-29,0-H49 ,,," قیمت فروش (43,000$) ",Dollar
1181,2021-11-28,817,0,2021-11-28,0-H31 ,,," قیمت فروش (15,000$) ",Dollar
1176,2021-11-28,801,0,2021-11-28,0-H122 ,,," قیمت فروش (45,000$) ",Dollar
1166,2021-11-28,855,0,2021-11-28,0-K76 ,,,"فی جریب (350,000) افغانی ",AF
1148,2021-11-27,841,1,2021-11-27,0-H68 ,,,"قیمت فروش  (95,000$)",Dollar
1136,2021-11-27,822,0,2022-05-26,0-GH37 ,,,"قیمت گروی  (10,000$)",Dollar
